AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2019,41001,Neiva,41,Huila,3791,Neiva,71410,95.88,95.63,73.91,93.6,80.4,46.97,108.93,98.03,114.13,115.24,88.78,,,5.09,4.25,3.9,7.44,2.94,83.96,0.99,87.62,75.69,88,10.95,0.99,8.48,16.87,9.06,2.56,0.8,2.3,3.63,1.38
2018,63001,Armenia,63,Quindio,3804,Armenia,43623,78.73,97.75,71.19,94.58,90.22,57.01,109.07,100.85,107.95,120.35,94.39,,,4.28,4.33,3.1,5.53,4.11,89.48,0.36,92.4,85.16,90.43,6.25,0.36,4.5,9.32,5.45,1.33,0.12,1.03,2.06,0.79
2018,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),836,62.03,65.67,46.27,60.76,48.94,31.47,73.8,70.15,78.49,78.72,54.55,,,3.92,2.13,4.07,4.55,2.82,92.49,0,91.85,90.4,97.18,3.58,0,4.07,5.05,0,6.66,0,8.15,8.59,0
2018,5001,Medellín,5,Antioquia,3759,Medellín,384358,100.67,96.88,78.01,95.79,85.96,48.45,110.95,93.67,111.28,123.01,95.25,,,4.14,3.45,3.24,5.72,2.91,86.1,0.18,89.41,79.03,90.02,9.76,0.18,7.35,15.24,7.07,3.81,0.29,3.61,5.43,1.59
2018,41001,Neiva,41,Huila,3791,Neiva,71841,102.91,94.78,73.54,92.62,79.24,46.43,108.2,100.34,112.23,113.97,90.63,,,4.81,3.44,3.45,7.2,3.89,84.11,0.95,87.8,76.03,86.24,11.08,0.95,8.76,16.77,9.87,2.52,0.85,2.67,3.16,1.16
2017,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),906,64.6,64.57,35.9,56.15,52.49,26.28,72.63,51.28,74.1,88.37,45.99,18.231,28.57,6.08,5,4.15,9.91,1.72,86.86,0,88.93,81.98,89.66,7.06,0,6.92,8.11,8.62,10.84,2.5,10.38,15.32,1.72
2017,41001,Neiva,41,Huila,3791,Neiva,67003,101.5,101.17,84.86,100,82.06,48.55,113.7,116.27,118.88,117.63,92.5,27.432,8.43,4.76,4.27,3.54,6.95,3.14,84.7,1.16,88.05,76.87,88.75,10.54,1.16,8.41,16.18,8.11,3.97,1.25,3.34,5.84,2.62
2017,5001,Medellín,5,Antioquia,3759,Medellín,370202,101.3,101.16,73.14,98.59,89.91,54.91,116.3,88.53,114.04,130.23,107.57,33.967,98.33,3.46,3.05,2.71,4.68,2.8,85.31,0.15,88.59,77.81,89.63,11.23,0.15,8.7,17.51,7.57,10.16,1.37,8.96,14.98,4.83
2017,63001,Armenia,63,Quindio,3804,Armenia,54421,80.1,80.08,47.39,73.1,75.77,54.08,90.46,71.27,84.4,101.26,93.32,30.963,100,4.41,4.53,3.02,5.91,4.3,88.85,0.25,92.51,83.71,89.39,6.74,0.25,4.47,10.39,6.31,0.74,0.04,0.53,1.24,0.35
2016,5001,Medellín,5,Antioquia,3759,Medellín,370403,103.4,103.18,73.68,101.71,90.33,55.87,118.91,88.62,118.7,132,108.35,31.851,96.59,3.93,3.03,2.8,5.84,3.06,85.04,0.15,88.67,76.98,88.94,11.02,0.15,8.54,17.17,7.99,3.3,0.05,3.07,4.88,1.29
2016,41001,Neiva,41,Huila,3791,Neiva,67734,100.6,100.36,72.55,99.35,82.31,48.69,115.57,104.06,123.15,119.72,94.8,22.999,69.09,6.44,4.86,4.97,9.28,4.33,82.92,1.28,86.26,75.24,86.83,10.64,1.28,8.77,15.48,8.84,3.4,0.84,2.7,5.21,2.09
2016,63001,Armenia,63,Quindio,3804,Armenia,54728,82.1,82.05,46.69,74.8,77.33,55.3,94.03,71.2,87.17,104.37,101.46,28.615,80,5.5,5.9,3.98,7.14,5.3,87.89,0.33,91.76,82.67,88.21,6.62,0.33,4.27,10.2,6.49,1.2,0.29,0.94,1.84,0.69
2016,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),923,69.9,69.88,50,65.66,54.25,23.78,80.07,69.23,83.59,92.48,49.65,20.308,28.57,4.65,7.41,3.32,6.3,3.08,86.63,1.85,86.1,83.61,96.92,8.72,1.85,10.57,10.08,0,10.61,0,11.18,14.29,3.08
