AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2019,3,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1915409,7592871,"25,23"
2018,1,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1826350,7412566,"24,64"
2016,1,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1647186,7300918,"22,56"
2018,3,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1875396,7412566,"25,30"
2017,2,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1776768,7337449,"24,22"
2020,3,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2069115,7732161,"26,76"
2019,4,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1916910,7592871,"25,25"
2017,3,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1807827,7337449,"24,64"
2020,1,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1957333,7732161,"25,31"
2020,1,05,ANTIOQUIA,05001,MEDELLÍN,632088,2519592,"25,09"
2021,1,05,ANTIOQUIA,05001,MEDELLÍN,683151,2549008,"26,80"
2021,2,05,ANTIOQUIA,05001,MEDELLÍN,684313,2549008,"26,85"
2022,1,05,ANTIOQUIA,05001,MEDELLÍN,729079,2572350,"28,34"
2022,4,05,ANTIOQUIA,05001,MEDELLÍN,769787,2572350,"29,93"
2021,3,05,ANTIOQUIA,05001,MEDELLÍN,693014,2549008,"27,19"
2021,4,05,ANTIOQUIA,05001,MEDELLÍN,702797,2549008,"27,57"
2022,3,05,ANTIOQUIA,05001,MEDELLÍN,748439,2572350,"29,10"
2019,3,05,ANTIOQUIA,05001,MEDELLÍN,611890,2483545,"24,64"
2019,1,05,ANTIOQUIA,05001,MEDELLÍN,600822,2483545,"24,19"
2016,4,05,ANTIOQUIA,05001,MEDELLÍN,545326,2351077,"23,19"
2017,1,05,ANTIOQUIA,05001,MEDELLÍN,691915,2385018,"29,01"
2022,2,05,ANTIOQUIA,05001,MEDELLÍN,743054,2572350,"28,89"
2016,2,05,ANTIOQUIA,05001,MEDELLÍN,531352,2351077,"22,60"
2018,4,05,ANTIOQUIA,05001,MEDELLÍN,592660,2427129,"24,42"
2016,1,05,ANTIOQUIA,05001,MEDELLÍN,522691,2351077,"22,23"
2018,2,05,ANTIOQUIA,05001,MEDELLÍN,578335,2427129,"23,83"
2019,2,05,ANTIOQUIA,05001,MEDELLÍN,606182,2483545,"24,41"
2017,3,05,ANTIOQUIA,05001,MEDELLÍN,565341,2385018,"23,70"
2018,3,05,ANTIOQUIA,05001,MEDELLÍN,586446,2427129,"24,16"
2017,2,05,ANTIOQUIA,05001,MEDELLÍN,556657,2385018,"23,34"
2016,3,05,ANTIOQUIA,05001,MEDELLÍN,541934,2351077,"23,05"
2020,2,05,ANTIOQUIA,05001,MEDELLÍN,655541,2519592,"26,02"
2017,4,05,ANTIOQUIA,05001,MEDELLÍN,569520,2385018,"23,88"
2018,1,05,ANTIOQUIA,05001,MEDELLÍN,574317,2427129,"23,66"
2020,3,05,ANTIOQUIA,05001,MEDELLÍN,659447,2519592,"26,17"
2019,4,05,ANTIOQUIA,05001,MEDELLÍN,618829,2483545,"24,92"
2020,4,05,ANTIOQUIA,05001,MEDELLÍN,668360,2519592,"26,53"
2018,3,41,HUILA,41001,NEIVA,75195,357392,"21,04"
2020,1,41,HUILA,41001,NEIVA,80475,367781,"21,88"
2016,3,41,HUILA,41001,NEIVA,67745,349048,"19,41"
2021,2,41,HUILA,41001,NEIVA,90395,371590,"24,33"
2016,2,41,HUILA,41001,NEIVA,67152,349048,"19,24"
2021,1,41,HUILA,41001,NEIVA,89202,371590,"24,01"
2022,2,41,HUILA,41001,NEIVA,93315,375660,"24,84"
2021,3,41,HUILA,41001,NEIVA,90854,371590,"24,45"
2021,4,41,HUILA,41001,NEIVA,92876,371590,"24,99"
2022,1,41,HUILA,41001,NEIVA,93853,375660,"24,98"
2017,3,41,HUILA,41001,NEIVA,70690,352999,"20,03"
2017,4,41,HUILA,41001,NEIVA,70122,352999,"19,86"
2019,4,41,HUILA,41001,NEIVA,77527,361049,"21,47"
2022,3,41,HUILA,41001,NEIVA,95128,375660,"25,32"
2022,4,41,HUILA,41001,NEIVA,95515,375660,"25,43"
2019,1,41,HUILA,41001,NEIVA,78448,361049,"21,73"
2018,1,41,HUILA,41001,NEIVA,72897,357392,"20,40"
2016,1,41,HUILA,41001,NEIVA,66735,349048,"19,12"
2018,4,41,HUILA,41001,NEIVA,76900,357392,"21,52"
2017,1,41,HUILA,41001,NEIVA,96144,352999,"27,24"
2019,2,41,HUILA,41001,NEIVA,80086,361049,"22,18"
2020,3,41,HUILA,41001,NEIVA,85725,367781,"23,31"
2016,4,41,HUILA,41001,NEIVA,67128,349048,"19,23"
2020,4,41,HUILA,41001,NEIVA,86353,367781,"23,48"
2020,2,41,HUILA,41001,NEIVA,83840,367781,"22,80"
2017,2,41,HUILA,41001,NEIVA,69320,352999,"19,64"
2019,3,41,HUILA,41001,NEIVA,81476,361049,"22,57"
2018,2,41,HUILA,41001,NEIVA,74383,357392,"20,81"
